Movie,Production Budget,Worldwide Gross
Death to Smoochy,50000000,8374062
Early Man,50000000,45285890
The Boat That Rocked,50000000,37472651
The Big Bounce,50000000,6626115
What Planet Are You From?,50000000,6291602
Liu Lang Di Qiu,50000000,688934822
Arctic Dogs,50000000,9693851
The Rhythm Section,50000000,5983043
Child 44,50000000,8004221
Outlander,50000000,1250617
Upside Down,50000000,26387039
Shanghai,50000000,15505922
Hannibal the Conqueror,50000000,0
Dora and the Lost City of Gold,49000000,117419117
The One,49000000,72689126
Chappie,49000000,105002056
The Adventures of Ford Fairlane,49000000,20423389
Anna Karenina,49000000,71004627
Indiana Jones and the Last Crusade,48000000,474171806
The Ring,48000000,248218486
Traffic,48000000,208300000
Panic Room,48000000,196308367
Taken 3,48000000,327656424
Zombieland: Double Tap,48000000,122266018
The Thomas Crown Affair,48000000,124304264
Instant Family,48000000,119736188
The Bone Collector,48000000,151463090
Three Kings,48000000,107752036
Tooth Fairy,48000000,112610386
Rat Race,48000000,86607223
3:10 to Yuma,48000000,71171825
K-PAX,48000000,64978140
Kate and Leopold,48000000,70937778
Bedazzled,48000000,90376224
Out of Sight,48000000,77562568
The Cotton Club,48000000,25928721
Charlieâs Angels,48000000,73180003
Rambo,47500000,112214531
The Infiltrator,47500000,22152137
Dick Tracy,47000000,162738726
Arrival,47000000,203127894
The Cable Guy,47000000,102825796
Addams Family Values,47000000,46293855
Earth,47000000,116773317
Riding in Cars with Boys,47000000,29781453
Happily N'Ever After,47000000,37923818
Solaris,47000000,14970038
Jonah Hex,47000000,11022696
Mary Reilly,47000000,12900000
Silence,46500000,23726626
Mr. Nobody,46500000,22254
My Best Friend's Wedding,46000000,298923419
America's Sweethearts,46000000,160648493
Star Trek: First Contact,46000000,150000000
Insomnia,46000000,113622499
Prisoners,46000000,113402302
Prisoners,46000000,113402302
Courage Under Fire,46000000,100833145
Inchon,46000000,4408636
Arthur and the War of Two Worlds,45500000,36180824
Liar Liar,45000000,302710615
A Bug's Life,45000000,363095319
Taken 2,45000000,377807404
The Flintstones,45000000,358500000
Scary Movie 3,45000000,155200000
Miss Congeniality,45000000,213420951
Pitch Perfect 3,45000000,185736412
Journey to the Center of the Earth,45000000,243180937
The Pelican Brief,45000000,187995859
The Princess Diaries 2: Royal Engagement,45000000,122071435
The Bucket List,45000000,174807445
The Client,45000000,117615211
The Muppets,45000000,160971922
Patriot Games,45000000,178100000
Monster-in-Law,45000000,155931301
Training Day,45000000,104505362
The Girl on the Train,45000000,174278214
Galaxy Quest,45000000,90523726
Scary Movie 2,45000000,141189101
Blade,45000000,131237688
Coach Carter,45000000,76665507
The Bounty Hunter,45000000,135808837
Changing Lanes,45000000,66790248
Anaconda,45000000,136998907
Underworld: Evolution,45000000,113417762
A Beautiful Day in the Neighborhood,45000000,68406338
Coyote Ugly,45000000,113916474
Love Actually,45000000,246821053
Jack,45000000,58617334
The Specialist,45000000,170362581
Office Christmas Party,45000000,115097874
Tin Cup,45000000,75854588
"Yours, Mine and Ours",45000000,72359917
Kicking and Screaming,45000000,55842724
The Hitchhiker's Guide to the Galaxy,45000000,102746214
Resident Evil: Extinction,45000000,149871103
Fat Albert,45000000,48563556
Savages,45000000,82513490
The River Wild,45000000,94215000
Blended,45000000,127990741
All Eyez on Me,45000000,57697426
Last Holiday,45000000,43343247
16 Blocks,45000000,65595141
The Indian in the Cupboard,45000000,35627222
Cellular,45000000,61453420
Doctor Sleep,45000000,71856239
The Ant Bully,45000000,49610898
Johnny English,45000000,161735791
Dune,45000000,27449336
Aliens in the Attic,45000000,59551283
Across the Universe,45000000,29367143
Revolutionary Road,45000000,79604820
Babylon A.D.,45000000,70216497
Richard Jewell,45000000,43100570
Frankenstein,45000000,112006296
The Glimmer Man,45000000,36404841
UglyDolls,45000000,28363146
Multiplicity,45000000,20133326
The Pledge,45000000,29406132
The Producers: The Movie Musical,45000000,32952995
The Phantom,45000000,17220599
Rebound,45000000,17492014
The Ghost Writer,45000000,65532491
All the Pretty Horses,45000000,18120267
Bangkok Dangerous,45000000,46598133
Nixon,45000000,34668249
Dredd,45000000,41467606
The Rum Diary,45000000,21544732
Deep Rising,45000000,11203026
Welcome to Marwen,45000000,13086137
Johnny English Reborn,45000000,164640401
Miracle at St. Anna,45000000,9676497
Big Trouble,45000000,8488871
Man cheng jin dai huang jin jia,45000000,76904429
Love in the Time of Cholera,45000000,31077418
Pinocchio,45000000,31681811
Shadow Conspiracy,45000000,2154540
Foodfight!,45000000,73706
Hillbilly Elegy,45000000,38852
Argo,44500000,227140757
The Fugitive,44000000,353715317
Rambo: First Blood Part II,44000000,300400000
Sleepers,44000000,165600852
Charlie St. Cloud,44000000,48478084
The Juror,44000000,22730924
The Interview,44000000,12342632
Heaven's Gate,44000000,3484523
The Heat,43000000,229727774
Finding Forrester,43000000,80013623
28 Days,43000000,62063972
Danny the Dog,43000000,49037621
The Sweetest Thing,43000000,63078756
The Girl in the Spiderâs Web,43000000,34983342
A Monster Calls,43000000,46414530
The Mechanic,42500000,76347393
The Firm,42000000,270340892
21 Jump Street,42000000,202812429
21 Jump Street,42000000,202812429
Notting Hill,42000000,363718196
Little Women,42000000,218786590
Chicken Run,42000000,227793915
Along Came Polly,42000000,173044410
Boomerang,42000000,131052444
BrÃ¼no,42000000,138708527
Cleopatra,42000000,71000000
Snatched,42000000,57852177
Here Comes the Boom,42000000,73239258
High Crimes,42000000,63781100
The Mirror Has Two Faces,42000000,41267469
Red Riding Hood,42000000,91678442
The Mothman Prophecies,42000000,56438555
Licence to Kill,42000000,156167015
Holmes & Watson,42000000,41926605
One for the Money,42000000,36197221
15 Minutes,42000000,56331864
Lord of War,42000000,60437727
Super Mario Bros.,42000000,20844907
Hero,42000000,66787173
Man on a Ledge,42000000,49621440
The Warrior's Way,42000000,8514325
McHale's Navy,42000000,4408420
Micmacs,42000000,18821576
Les BronzÃ©s 3: amis pour la vie,42000000,83833602
Pourquoi j'ai pas mangÃ© mon pÃ¨re,42000000,15451663
8 Mile,41000000,245768384
Rocketman,41000000,192137020
A Knightâs Tale,41000000,100622586
The Medallion,41000000,22108977
The Big Year,41000000,7684524
The Sixth Sense,40000000,672806292
Wedding Crashers,40000000,283218368
The Karate Kid,40000000,351774938
John Wick: Chapter 3 â Parabellum,40000000,325674995
Fifty Shades of Grey,40000000,570998101
Knives Out,40000000,312224914
The Proposal,40000000,314709717
American Hustle,40000000,257858943
Cheaper by the Dozen,40000000,190212113
Lucy,40000000,457507776
Lone Survivor,40000000,149804632
Back to the Future Part II,40000000,331971881
Double Jeopardy,40000000,177835231
Spy Kids 3-D: Game Over,40000000,167851995
A Time to Kill,40000000,152266007
A League of Their Own,40000000,132440066
The Conjuring 2: The Enfield Poltergeist,40000000,310399793
The Social Network,40000000,224922135
Julie & Julia,40000000,131516178
He's Just Not That Into You,40000000,181053657
John Wick: Chapter Two,40000000,171317271
Ride Along 2,40000000,124827316
Scary Movie 4,40000000,178710620
Get Hard,40000000,111711453
Scream 3,40000000,161838076
Back to the Future Part III,40000000,244087268
The Accountant,40000000,152962083
Dumb and Dumber To,40000000,156553592
The Other Woman,40000000,195111193
Bram Stoker's Dracula,40000000,215862692
Eight Below,40000000,120455994
The Talented Mr. Ripley,40000000,128792135
The Intern,40000000,197115710
The Last of the Mohicans,40000000,75505856
Ray,40000000,124823094
Sin City,40000000,158527918
Bridge of Spies,40000000,162498338
Vantage Point,40000000,150886329
"I Love You, Man",40000000,92302502
Shallow Hal,40000000,70836296
JFK,40000000,205400000
Big Momma's House 2,40000000,137047376
Angel Has Fallen,40000000,133365452
The House with a Clock in its Walls,40000000,131457147
Hacksaw Ridge,40000000,168904682
The Mexican,40000000,145238250
The Final Destination,40000000,187384627
17 Again,40000000,139474906
Unknown,40000000,136123083
Get Him to the Greek,40000000,92994927
Gothika,40000000,141484812
Behind Enemy Lines,40000000,58855732
The Lincoln Lawyer,40000000,87145086
Shall We Dance?,40000000,118097882
Invincible,40000000,58501127
Escape From Planet Earth,40000000,74156610
Small Soldiers,40000000,71743823
Spawn,40000000,87949859
Horrible Bosses 2,40000000,105945357
The Count of Monte Cristo,40000000,75389090
The Prestige,40000000,104407366
The Lake House,40000000,114830111
Predators,40000000,127234389
The Odd Life of Timothy Green,40000000,55249159
The Living Daylights,40000000,191200000
Apocalypto,40000000,121032272
Music and Lyrics,40000000,146196885
Legal Eagles,40000000,49851591
Secret Window,40000000,92110539
Secret Window,40000000,92110539
The Skeleton Key,40000000,92256918
Jersey Boys,40000000,65282732
Made of Honor,40000000,106548738
The Rainmaker,40000000,45916769
Medicine Man,40000000,44948240
Amistad,40000000,58250151
A Million Ways to Die in The West,40000000,86778557
Final Destination 5,40000000,155011165
Widows,40000000,75984700
Fever Pitch,40000000,50071069
Aliens vs. Predator - Requiem,40000000,128884494
The Water Horse: Legend of the Deep,40000000,103429755
Sex Tape,40000000,126069509
Scream 4,40000000,95989590
Ri¢hie Ri¢h,40000000,38087756
Autumn in New York,40000000,90717684
Paul,40000000,101162106
The Guilt Trip,40000000,41294674
Colombiana,40000000,72295262
8MM,40000000,96398826
The Commuter,40000000,118509836
Hanging Up,40000000,51867723
The Doors,40000000,34420595
Mickey Blue Eyes,40000000,53864342
The Spy Who Dumped Me,40000000,77109957
Pay it Forward,40000000,55696705
Arthur,40000000,47787943
Drillbit Taylor,40000000,49686263
Patriots Day,40000000,52837989
Extremely Loud and Incredibly Close,40000000,55247881
The Shadow,40000000,31835600
Transporter 3,40000000,112930957
Morning Glory,40000000,59795070
Get Rich or Die Tryin',40000000,46666955
Long Shot,40000000,53624424
The Art of War,40000000,30199105
Grudge Match,40000000,69817991
Bless the Child,40000000,40435694
Rent,40000000,31670620
The Out-of-Towners,40000000,28544120
The Nut Job 2: Nutty by Nature,40000000,57438389
The Island of Dr. Moreau,40000000,27682712
The Musketeer,40000000,27053815
Resident Evil: The Final Chapter,40000000,314101190
The Other Boleyn Girl,40000000,78269970
The House,40000000,31192425
Sweet November,40000000,65754228
The Reaping,40000000,62226214
Season of the Witch,40000000,91126600
Renaissance Man,40000000,24172899
Quest for Camelot,40000000,38172500
City by the Sea,40000000,22505932
At First Sight,40000000,22365133
Mechanic: Resurrection,40000000,125729635
Torque,40000000,46176322
Fantastic Mr. Fox,40000000,47018717
The Happytime Murders,40000000,27506412
Showgirls,40000000,37750754
City Hall,40000000,20278055
Big Miracle,40000000,25268680
The Impossible,40000000,169590606
A Thousand Words,40000000,20790486
Detroit,40000000,26033563
Marie Antoinette,40000000,60862471
Hunter Killer,40000000,29325209
Get Carter,40000000,19417182
Kiss of Death,40000000,14942422
Keeping Up with the Joneses,40000000,28804426
"Life, or Something Like It",40000000,14448589
Ishtar,40000000,14375181
Memoirs of an Invisible Man,40000000,14358033
Amelia,40000000,19756077
Cirque du Freak: The Vampire's Assistant,40000000,39753957
New York Minute,40000000,21156715
The Deep End of the Ocean,40000000,13508635
Alfie,40000000,35195939
FearDotCom,40000000,13289290
Soul Men,40000000,12345883
The Gunman,40000000,18594227
Universal Soldier II: The Return,40000000,10717421
Pandorum,40000000,17033431
Duplex,40000000,10070651
Paranoia,40000000,16340767
Raise the Titanic,40000000,7000000
Baahubali: The Beginning,40000000,26736665
The Hurricane Heist,40000000,30963684
Impostor,40000000,7974607
Victor Frankenstein,40000000,31124367
The Goldfinch,40000000,9430149
Extreme Ops,40000000,12624471
Just Visiting,40000000,16172200
Snowpiercer,40000000,86808205
Sunshine,40000000,32030610
The Hudsucker Proxy,40000000,14938149
Billy Lynnâs Long Halftime Walk,40000000,30230402
Pirates,40000000,6341825
Delgo,40000000,915840
The Hunting Party,40000000,7729552
Alex Rider: Operation Stormbreaker,40000000,20722450
Red Cliff,40000000,119627047
Red Cliff,40000000,119627047
The Last Shot,40000000,463730
Nomad,40000000,79123
Un monstre Ã  Paris ,40000000,27000381
Solomon Kane,40000000,22024849
Kursk,40000000,5578259
USS Indianapolis: Men of Courage,40000000,1663785
Dragon Nest Warriors' Dawn,40000000,734423
Death Note,40000000,0
Down Under Cover,40000000,0
Timmy Failure: Mistakes Were Made,40000000,0
Heaven and Hell,40000000,0
The Time Travelerâs Wife,39000000,102332135
Superman III,39000000,80200000
Because I Said So,39000000,69538833
Frankenweenie,39000000,81150788
Sgt. Bilko,39000000,37956589
Serenity,39000000,40319440
Shoot 'Em Up,39000000,26796824
Against the Ropes,39000000,6429865
Yi dai zong shi,38600000,57987299
The Fast and the Furious,38000000,206458372
Sweet Home Alabama,38000000,182365114
The Ugly Truth,38000000,205298907
Spy Kids 2: The Island of Lost Dreams,38000000,119721296
Star Trek: Generations,38000000,120000000
Captain Underpants: The First Epic Movie,38000000,126422949
Paul Blart: Mall Cop 2,38000000,107650646
Mouse Hunt,38000000,61894591
Why Him?,38000000,117425156
Water for Elephants,38000000,116809717
Life as We Know It,38000000,105887837
The Hurricane,38000000,73956241
Riddick,38000000,94763758
Heartbreakers,38000000,57753825
Enough,38000000,50970660
The 5th Wave,38000000,111336398
Push,38000000,49678401
Rush,38000000,98230839
Angel Eyes,38000000,29544532
Joe Somebody,38000000,24515990
Overlord,38000000,39178189
The War with Grandpa,38000000,35439722
The Ninth Gate,38000000,58394308
Only the Brave,38000000,24555177
Extreme Measures,38000000,17378193
The Thing,38000000,27573078
Rock Star,38000000,19317765
The Kitchen,38000000,15779653
News of the World,38000000,10483730
White Squall,38000000,10229300
City of Ember,38000000,17831558
Switchback,38000000,6504442
The Sisters Brothers,38000000,14636067
Texas Rangers,38000000,623374
Virgin Territory,38000000,5473041
The Upside,37500000,125818440
What to Expect When You're Expecting,37500000,88473016
The Master,37500000,50879131
The Express,37500000,9813309
Twilight,37000000,402280159
Weâre the Millers,37000000,267816276
Creed,37000000,173567581
The Town,37000000,152566881
Dolphin Tale,37000000,96068724
Game Night,37000000,117378084
Burn After Reading,37000000,168167798
13 Going On 30,37000000,97658712
Tyler Perryâs Temptation,37000000,53143144
Nim's Island,37000000,101857425
How to be Single,37000000,100003780
Cop Out,37000000,55909910
The Rite,37000000,97143987
Space Chimps,37000000,67029956
Magnolia,37000000,48446802
Aloha,37000000,25387091
Obitaemyy ostrov,36500000,15000000
A Star is Born,36000000,432195228
Gnomeo and Juliet,36000000,193737977
John Q.,36000000,102226631
Blue Streak,36000000,117448157
Never Say Never Again,36000000,160000000
Hot Tub Time Machine,36000000,65967750
Breakdown,36000000,50159144
Dolphin Tale 2,36000000,57824533
Collateral Beauty,36000000,85309093
A Man Apart,36000000,43797731
Reindeer Games,36000000,23360779
Snow Falling on Cedars,36000000,14378353
Ghosts of Mississippi,36000000,13052741
Gattaca,36000000,12532777
Isn't She Great,36000000,2954405
Yip Man 3,36000000,157300954
There Be Dragons,36000000,4020990
Queen of the Desert,36000000,1578543
Head of State,35200000,38283765
It,35000000,701720047
The Hangover,35000000,465487583
The Blind Side,35000000,305705794
Batman,35000000,411348924
Austin Powers: The Spy Who Shagged Me,35000000,312383487
Austin Powers: The Spy Who Shagged Me,35000000,312383487
True Grit,35000000,252276928
Lethal Weapon 3,35000000,319700000
Rush Hour,35000000,245300000
Identity Thief,35000000,175361578
The Devil Wears Prada,35000000,326073155
Horrible Bosses,35000000,212417601
Spy Kids,35000000,197692062
Trainwreck,35000000,141123897
Saving Mr. Banks,35000000,114962525
Star Trek: The Motion Picture,35000000,139000000
21,35000000,159846429
What Happens in Vegas...,35000000,218535708
Cape Fear,35000000,182291969
The English Patient,35000000,231710008
Hotel for Dogs,35000000,122357172
Guess Who,35000000,102115888
This is 40,35000000,90221182
L.A. Confidential,35000000,126204977
Sky High,35000000,83109359
In & Out,35000000,83226569
A Nightmare on Elm Street,35000000,117729621
The Cell,35000000,85911226
Species,35000000,113354449
The Benchwarmers,35000000,65063726
Secretariat,35000000,60376247
The Man in the Iron Mask,35000000,56968169
Friends with Benefits,35000000,146595891
Neighbors 2: Sorority Rising,35000000,108757621
TMNT,35000000,96096018
Radio,35000000,53293628
Sicario: Day of the Soldado,35000000,75885196
Old Dogs,35000000,95104304
Malcolm X,35000000,48169910
Poltergeist,35000000,95713069
Goosebumps 2: Haunted Halloween,35000000,93291478
12 Strong,35000000,71118378
Underworld 3: Rise of the Lycans,35000000,89102315
Must Love Dogs,35000000,58405313
License to Wed,35000000,70187088
Donnie Brasco,35000000,65303052
Max Payne,35000000,87775050
Resident Evil,35000000,103787401
The Ladykillers,35000000,77392139
Something Borrowed,35000000,65084116
The Nativity Story,35000000,46309644
In Time,35000000,165103952
The Back-up Plan,35000000,75281179
J. Edgar,35000000,84606030
Bounce,35000000,53425292
Mile 22,35000000,66295121
Hot Pursuit,35000000,45671512
Concussion,35000000,50363790
The Foreigner,35000000,140783360
Closer,35000000,116177695
Street Fighter,35000000,99423000
Black Knight,35000000,33422806
The Bad News Bears,35000000,33500620
The Pianist,35000000,111854182
House of Wax,35000000,70064800
From Hell,35000000,68712365
Adrift,35000000,57897191
Mirrors,35000000,77220596
Underworld: Blood Wars,35000000,81209222
Queen of the Damned,35000000,30307804
Nanny McPhee and the Big Bang,35000000,97799865
Untraceable,35000000,52649951
Predator 2,35000000,54768418
Abduction,35000000,86648359
Flash Gordon,35000000,27181085
Superhero Movie,35000000,73026302
Blast from the Past,35000000,26613620
Alex Cross,35000000,35426759
Jersey Girl,35000000,37066129
Midnight in the Garden of Good and Evil,35000000,25078937
Bridget Jonesâs Baby,35000000,205822688
Heist,35000000,28906817
Hoffa,35000000,28391473
Whiskey Tango Foxtrot,35000000,25350747
Ella Enchanted,35000000,24200318
Hitman: Agent 47,35000000,82182803
Phantom Thread,35000000,47896721
The X-Files: I Want to Believe,35000000,68170792
Premium Rush,35000000,31393201
Broken City,35000000,37114977
Valiant,35000000,64188387
Wonder Boys,35000000,33422485
Cursed,35000000,25114901
Walk Hard: The Dewey Cox Story,35000000,20606053
The Four Feathers,35000000,29882645
Furry Vengeance,35000000,39340177
Parker,35000000,48543388
Wimbledon,35000000,41666476
Bait,35000000,15471969
Dungeons and Dragons,35000000,33771965
Lions for Lambs,35000000,63211088
Flight of the Intruder,35000000,14471440
The Tree of Life,35000000,61721826
American Outlaws,35000000,13601109
Playing for Keeps,35000000,27805632
Zoom,35000000,12506188
Zoom,35000000,12506188
The Shipping News,35000000,24405825
The Young Victoria,35000000,31878891
Sabotage,35000000,18376443
Knock Off,35000000,10319915
Whiteout,35000000,12254746
Unfinished Business,35000000,13214051
The Walk,35000000,61492104
The Fountain,35000000,15461638
Mandela: Long Walk to Freedom,35000000,29890402
Punisher: War Zone,35000000,10157534
The Order,35000000,11559747
A Good Year,35000000,42064105
The Brothers Grimsby,35000000,28720470
The Snowman,35000000,43164679
Femme Fatale,35000000,16830252
Warriors of Virtue,35000000,6448817
Luther,35000000,32717063
Biutiful,35000000,24687524
Radio Flyer,35000000,4651977
Bound by Honor,35000000,4496583
A Hologram for the King,35000000,11846010
Smilla's Sense of Snow,35000000,2221994
Playing for Keeps,35000000,2000000
Lion of the Desert,35000000,1500000
Le hussard sur le toit,35000000,1320043
Ride With the Devil,35000000,630779
Stolen,35000000,17967746
Trespass,35000000,786532
Bandidas,35000000,19282590
The Trial of the Chicago 7,35000000,107423
The Lovers,35000000,53899
Black Water Transit,35000000,0
The Darkest Hour,34800000,62831715
Baby Driver,34000000,228104185
The Maze Runner,34000000,348319861
The Longest Ride,34000000,63802928
The Age of Innocence,34000000,32014993
Gake no ue no Ponyo,34000000,205182666
The Darkest Minds,34000000,38361428
Chill Factor,34000000,11263966
The Astronaut's Wife,34000000,10672566
I Dreamed of Africa,34000000,14291999
Thunder and the House of Magic,34000000,62582520
Greenland,34000000,40427678
Reds,33500000,50000000
A Few Good Men,33000000,236500000
Big Momma's House,33000000,173559438
Exit Wounds,33000000,79958599
Mike and Dave Need Wedding Dates,33000000,75898100
Step Up Revolution,33000000,165552290
Snakes on a Plane,33000000,62020814
The Punisher,33000000,54533774
The Watcher,33000000,47267829
21 Bridges,33000000,40013645
Unhinged,33000000,36848017
Safe,33000000,41495213
Doomsday,33000000,21621188
Pushing Tin,33000000,8408835
Goal! The Dream Begins,33000000,27610873
The Young and Prodigious T.S. Spivet,33000000,357687
Freaks of Nature,33000000,70958
Star Wars Ep. VI: Return of the Jedi,32500000,475106177
Bridesmaids,32500000,289632023
The Reader,32500000,112964875
The Big Wedding,32500000,48425971
Wanderlust,32500000,24159934
Elf,32000000,222339732
Phenomenon,32000000,152036382
This is the End,32000000,126539117
Snow Dogs,32000000,116898028
Nacho Libre,32000000,99296462
Scrooged,32000000,59450796
Takers,32000000,70587268
Source Code,32000000,140428499
Stigmata,32000000,89441732
Men of Honor,32000000,82339483
I Feel Pretty,32000000,91444095
The Transporter 2,32000000,88978458
"Big Mommas: Like Father, Like Son",32000000,82332450
Alive,32000000,36299670
The Number 23,32000000,77593167
1941,32000000,94875000
Dreamer: Inspired by a True Story,32000000,39498360
Bombshell,32000000,61404394
A History of Violence,32000000,61477797
The Incredible Burt Wonderstone,32000000,27392609
The Quick and the Dead,32000000,18552460
Laws of Attraction,32000000,29939591
Bad Times at the El Royale,32000000,29199399
Going the Distance,32000000,43603990
Bringing Out The Dead,32000000,16640210
Repo Men,32000000,18195238
Dragon Wars: D-War,32000000,79915361
Bogus,32000000,4357406
Cats Don't Dance,32000000,3588602
Cradle Will Rock,32000000,2899970
The Good German,32000000,6678033
George and the Dragon,32000000,0
Apocalypse Now,31500000,85915469
Criminal,31500000,38771262
Criminal,31500000,38771262
La ch'tite famille,31400000,55613061
42,31000000,97470701
Flight,31000000,160558438
Mr. Hollandâs Opus,31000000,106282604
Moonraker,31000000,210300000
The Grand Budapest Hotel,31000000,163503514
Vacation,31000000,102306500
Arachnophobia,31000000,53208180
Isnât it Romantic,31000000,48791187
Frequency,31000000,68079671
Hearts in Atlantis,31000000,30885781
Extraordinary Measures,31000000,15826984
Birth of the Dragon,31000000,7220490
Get Shorty,30250000,115021008
Ghostbusters,30000000,295212467
Toy Story,30000000,365270951
Crazy Rich Asians,30000000,238099711
Chicago,30000000,306770545
Big Daddy,30000000,228641283
American Pie 2,30000000,286500000
The Vow,30000000,197618160
Speed,30000000,283200000
The Hunt for Red October,30000000,200500000
Lee Daniels' The Butler,30000000,177025498
Remember the Titans,30000000,136771683
District 9,30000000,212453431
Dodgeball: A True Underdog Story,30000000,167791704
The Addams Family,30000000,191502246
Ace Ventura: When Nature Calls,30000000,212400000
The Princess Diaries,30000000,165334774
Analyze This,30000000,176885658
The First Wives Club,30000000,181489203
Million Dollar Baby,30000000,231928227
Se7en,30000000,328125643
Mystic River,30000000,156822020
Sisters,30000000,106030660
Pokemon: The First Movie,30000000,163644662
SpongeBob SquarePants: The Movie,30000000,142051255
The Notebook,30000000,115937163
Hannah Montana: The Movie,30000000,169173206
27 Dresses,30000000,160247805
Rugrats in Paris,30000000,103284813
The Hitmanâs Bodyguard,30000000,183428327
The Prince of Tides,30000000,74787599
Four Brothers,30000000,92494381
Legends of the Fall,30000000,160502573
Looper,30000000,170466405
Warm Bodies,30000000,115121608
About Schmidt,30000000,107054484
The Nut Job,30000000,122529966
Down to Earth,30000000,71172251
Babe,30000000,246100000
Hope Springs,30000000,133085295
Forgetting Sarah Marshall,30000000,105173042
Friday Night Lights,30000000,61950770
Harlem Nights,30000000,95857262
Baby Mama,30000000,64170447
Hope Floats,30000000,81529000
Bride Wars,30000000,115150424
Without a Paddle,30000000,65121280
Midnight in Paris,30000000,162279328
Darkest Hour,30000000,150832086
Wallace & Gromit: The Curse of the Were-Rabbit,30000000,197593152
"P.S., I Love You",30000000,155769678
Corpse Bride,30000000,114770654
Life of the Party,30000000,65859911
Letters to Juliet,30000000,82148538
Blow,30000000,83282296
Message in a Bottle,30000000,52880016
Southpaw,30000000,94156456
Star Trek V: The Final Frontier,30000000,70200000
Atomic Blonde,30000000,98345423
Like Mike,30000000,62432423
Naked Gun 33 1/3: The Final Insult,30000000,51041856
Atonement,30000000,129779728
A View to a Kill,30000000,152627960
Sommersby,30000000,140081992
Racing Stripes,30000000,89809433
Sicario,30000000,84393749
Black Rain,30000000,133892212
Full Metal Jacket,30000000,45015999
Den of Thieves,30000000,80147166
The Three Stooges,30000000,54052249
Pokemon 2000,30000000,133946923
John Wick,30000000,76187790
Glory Road,30000000,42799060
The Age of Adaline,30000000,68984536
Step Up 3D,30000000,165889117
Drag Me To Hell,30000000,91388487
The Cabin in the Woods,30000000,70689968
Secondhand Lions,30000000,47902566
Stranger Than Fiction,30000000,53572822
Hanna,30000000,65343694
Blue Crush,30000000,51618420
30 Days of Night,30000000,80276156
Little Shop of Horrors,30000000,38747385
Gridiron Gang,30000000,41457834
Midnight Run,30000000,81613606
Meet the Spartans,30000000,84646831
The Running Man,30000000,38122000
The Running Man,30000000,38122000
The Family,30000000,80588942
The 15:17 to Paris,30000000,56096200
Mortal Kombat: Annihilation,30000000,51327406
Larry Crowne,30000000,61449135
Carrie,30000000,82409520
Last Christmas,30000000,123429226
Take the Lead,30000000,65390493
Death Wish,30000000,48575965
Love and Other Drugs,30000000,102716321
Entourage,30000000,46438538
What's the Worst That Could Happen?,30000000,38462071
Side Effects,30000000,66742138
9,30000000,48559999
Deliver Us from Evil,30000000,87956618
Get on Up,30000000,33339868
Mollyâs Game,30000000,53296424
The Five-Year Engagement,30000000,61623819
The Prince & Me,30000000,30089110
Winnie the Pooh,30000000,50145607
Bulworth,30000000,29203383
Dumb and Dumberer: When Harry Met Lloyd,30000000,28986358
White Boy Rick,30000000,25947983
Virtuosity,30000000,23998226
One True Thing,30000000,26708196
Sanctum,30000000,108957098
My Super Ex-Girlfriend,30000000,60772856
Ballerina,30000000,96890794
Mr. 3000,30000000,21827296
Shaft,30000000,21360215
The Next Three Days,30000000,67255916
Proud Mary,30000000,21709539
Sleepless,30000000,33296659
Little Black Book,30000000,21758371
Assault On Precinct 13,30000000,36040895
Runner Runner,30000000,60512680
The Replacement Killers,30000000,19035741
Baahubali 2: The Conclusion,30000000,263502914
Ultraviolet,30000000,30962112
North Country,30000000,23676771
Fright Night,30000000,40520649
mother!,30000000,42531076
Steve Jobs,30000000,35579007
Eight Legged Freaks,30000000,36722311
Fled,30000000,19892205
Splice,30000000,28542494
88 Minutes,30000000,32955399
The Whole Ten Yards,30000000,26323969
Howard the Duck,30000000,16295774
Pride and Glory,30000000,32262866
The Cave,30000000,27147991
Godsend,30000000,16873925
Alex & Emma,30000000,15358583
Wicker Park,30000000,21577076
The New World,30000000,26184400
Evening,30000000,12885574
The Last Stand,30000000,48330757
In Dreams,30000000,12017369
Wing Commander,30000000,11578022
CafÃ© Society,30000000,44359512
Antitrust,30000000,17865209
Dead Man Down,30000000,19599974
Hoodwinked Too: Hood vs. Evil,30000000,23353111
Dragonball Evolution,30000000,58228460
First Daughter,30000000,10419084
The Lost City of Z,30000000,17121823
An Unfinished Life,30000000,18535575
The Space Between Us,30000000,16481405
Anna,30000000,30982979
The Imaginarium of Doctor Parnassus,30000000,64352607
Barney's Version,30000000,8845575
Trapped,30000000,7005468
The Current War: Directorâs Cut,30000000,12868552
Kin,30000000,10383524
Once Upon a Time in America,30000000,5575648
The Little Things,30000000,7600000
Johnny English Strikes Again,30000000,159378778
Stronger,30000000,8786287
Gloria,30000000,4967493
Replicas,30000000,9037427
The Assassination of Jesse James by the Coward …,30000000,15313631
The Merchant of Venice,30000000,18765585
The Good Thief,30000000,6460758
Supercross,30000000,3252550
Miss Potter,30000000,35891257
The Tax Collector,30000000,1309971
Wu ji,30000000,35869934
Machine Gun Preacher,30000000,3721988
Bilal: A New Breed of Hero,30000000,648599
DOA: Dead or Alive,30000000,7755686
Le Petit Nicolas,30000000,52339566
Xinhai geming,30000000,8593154
Genghis Khan: To the Ends of the Earth and Sea,30000000,4874498
Wild Card,30000000,4315789
